"Origin","OriginTerm","CoreTerm"
"icd10cm:A000:official","cholera due to vibrio cholerae 01, biovar cholerae","cholera"
"icd10cm:A0100:official","typhoid fever, unspecified","typhoid fever"
"icd10cm:A011:official","paratyphoid fever a","paratyphoid fever"
"icd10cm:A0220:official","localized salmonella infection, unspecified","localized salmonella infection"
"icd10cm:A0229:official","salmonella with other localized infection","salmonella"
"icd10cm:A028:official","other specified salmonella infections","specified salmonella infections"
"icd10cm:A029:official","salmonella infection, unspecified","salmonella infection"
"icd10cm:A030:official","shigellosis due to shigella dysenteriae","shigellosis"
"icd10cm:A044:official","other intestinal escherichia coli infections","intestinal escherichia coli infections"
"icd10cm:A046:official","enteritis due to yersinia enterocolitica","enteritis"
"icd10cm:A0471:official","enterocolitis due to clostridium difficile, recurrent","enterocolitis"
"icd10cm:A0472:official+abbr","enterocolitis d/t clostridium difficile, not spcf as recur","enterocolitis clostridium difficile"
"icd10cm:A048:official","other specified bacterial intestinal infections","specified bacterial intestinal infections"
"icd10cm:A049:official","bacterial intestinal infection, unspecified","bacterial intestinal infection"
"icd10cm:A052:official","foodborne clostridium perfringens [clostridium welchii] intoxication","perfringens welchii intoxication"
"icd10cm:A058:official","other specified bacterial foodborne intoxications","specified bacterial foodborne intoxications"
"icd10cm:A059:official","bacterial foodborne intoxication, unspecified","bacterial foodborne intoxication"
"icd10cm:A063:official","ameboma of intestine","intestine ameboma"
"icd10cm:A0682:official","other amebic genitourinary infections","amebic genitourinary infections"
"icd10cm:A0689:official","other amebic infections","amebic infections"
"icd10cm:A069:official","amebiasis, unspecified","amebiasis"
"icd10cm:A071:official","giardiasis [lambliasis]","giardiasis lambliasis"
"icd10cm:A078:official","other specified protozoal intestinal diseases","specified protozoal intestinal diseases"
"icd10cm:A079:official","protozoal intestinal disease, unspecified","protozoal intestinal disease"
"icd10cm:A0811:official","acute gastroenteropathy due to norwalk agent","acute gastroenteropathy"
"icd10cm:A0839:official","other viral enteritis","viral enteritis"
"icd10cm:A084:official","viral intestinal infection, unspecified","viral intestinal infection"
"icd10cm:A088:official","other specified intestinal infections","specified intestinal infections"
"icd10cm:A09:official","infectious gastroenteritis and colitis, unspecified","infectious gastroenteritis colitis"
"icd10cm:A150:official","tuberculosis of lung","lung tuberculosis"
"icd10cm:A154:official","tuberculosis of intrathoracic lymph nodes","intrathoracic lymph nodes tuberculosis"
"icd10cm:A155:official","tuberculosis of larynx, trachea and bronchus","larynx trachea bronchus tuberculosis"
