Source Name,Language,Number of entries
ICD10CM,en,77637
SNOMEDCT_US,en,23175
MEDCIN,en,22569
MTH,en,22169
SCTSPA,es,17316
MDRJPN,jp,16812
MSH,en,12535
CHV,en,10774
ICPC2ICD10ENG,en,10679
MDR,en,10429
MDRARA,ar,10419
MDRCZE,cz,10419
MDRDUT,nl,10419
MDREST,ee,10419
MDRFIN,fn,10419
MDRFRE,fr,10419
MDRGER,de,10419
MDRGRE,hl,10419
MDRHUN,hu,10419
MDRISL,is,10419
MDRITA,it,10419
MDRKOR,kr,10419
MDRLAV,lv,10419
MDRLIT,lt,10419
MDRPOL,pl,10419
MDRBPO,pt,10419
MDRPOR,pt,10419
MDRRUS,ru,10419
MDRHRV,hr,10419
MDRSPA,es,10419
MDRSWE,sw,10419
ICPC2ICD10DUT,nl,9283
MSHJPN,jp,9105
NCI,en,7574
SNMI,en,7285
RCD,en,6767
MSHRUS,ru,6522
ICD10AM,en,6414
ICD10,en,5628
ICD10DUT,nl,5553
DMDICD10,de,5533
KCD5,kr,5413
MSHCZE,cz,5306
MSHFRE,fr,4832
ICD9CM,en,4117
MSHPOR,pt,4065
MSHNOR,no,3931
MSHGER,de,3922
MSHSPA,es,3773
MSHDUT,nl,3676
OMIM,en,3086
MSHPOL,pl,2869
MSHITA,it,2793
SNM,en,2768
MTHICD9,en,2569
MSHSWE,sw,2558
HPO,en,2552
ICPC2P,en,2234
MEDLINEPLUS,en,2218
DXP,en,2182
ORPHANET,en,1799
CSP,en,1316
CST,en,1299
CCPSS,en,1219
MSHFIN,fi,1215
COSTAR,en,1005
WHO,en,857
WHOPOR,pt,840
WHOFRE,fr,837
LNC,en,797
WHOGER,de,788
RCDAE,en,728
WHOSPA,es,721
AOD,en,720
MSHSCR,hr,715
LCH_NW,en,713
ICD10AMAE,en,629
NOC,en,545
ICD10AE,en,506
PDQ,en,493
JABL,en,471
LCH,en,423
SNOMEDCT_VET,en,390
BI,en,371
PSY,en,337
MEDLINEPLUS_SPA,es,272
QMR,en,238
CCS,en,220
DSM-5,en,205
NANDA-I,en,181
ICPC2EDUT,nl,146
ICPC2EENG,en,146
ICPC,en,139
ICPCDAN,da,133
ICPCDUT,nl,133
ICPCFIN,fi,133
ICPCFRE,fr,133
ICPCGER,de,133
ICPCITA,it,133
ICPCNOR,no,133
ICPCPOR,pt,133
ICPCSPA,es,133
ICPCSWE,sw,133
ICPCHUN,hu,132
ICPCBAQ,basque,123
ICPCHEB,hebrew (latin),100
CCSR_ICD10CM,en,88
AIR,en,71
RCDSY,en,71
HGNC,en,52
ICNP,en,52
MTHMST,en,39
MTHMSTFRE,fr,39
MTHMSTITA,it,39
RAM,en,33
MTHICPC2ICD10AE,en,30
OMS,en,25
PCDS,en,25
CCC,en,16
CPM,en,15
MTHICPC2EAE,en,12
HL7V3.0,en,10
ICF-CY,en,10
RCDSA,en,9
ICF,en,9
DDB,en,8
MSHLAV,lv,8
FMA,en,8
UWDA,en,6
LNC-ES-MX,es,4
GO,en,3
HL7V2.5,en,2
CVX,en,2
LNC-ZH-CN,cn,2
LNC-EL-GR,gr,2
LNC-IT-IT,it,2
PNDS,en,2
NIC,en,2
LNC-NL-NL,nl,2
DRUGBANK,en,1
ULT,en,1
NCBI,en,1
LNC-PL-PL,pl,1
LNC-RU-RU,ru,1
LNC-ES-ES,es,1
